Código - PDM;Título - PDM;Descrição Longa - PDM;Descrição Curta - PDM;Característica - Descrição;Conteúdo - Descrição;Descrição Curta - Conteúdo;Unidade - Descrição;Sigla - Unidade
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;MATERIAL;PLASTICO ABS;ABS;;
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;COR;PRETO;PT;;
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;POSICAO UTILIZACAO;DIREITO;DIR;;
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;POSICAO UTILIZACAO;ESQUERDO;ESQ;;
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;MODELO CAPACETE APLICACAO;MARK V;;;
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;FABRICANTE-REFERENCIA;MSA-PC 299842;MSA-PC 299842;;
SMK-AABAF;ACOPLADOR ABAFADOR;ACOPLADOR ABAFADOR;ACOPLADOR ABAF;FABRICANTE-REFERENCIA;MSA-PC 299843;MSA-PC 299843;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TIPO;ANEL;ANEL;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TIPO;ARRUELA;ARRUEL;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TIPO;ELEMENTO ELASTICO;EL ELA;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;11;11;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;13;13;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;14;14;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;194;194;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;230;230;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;260;260;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;300;300;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;32;32;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;38;38;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;400/450;450;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;500/550/600;600;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;D9/D11;D9/D11;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;TAMANHO;SN-300;SN300;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;BOWEX;BOWEX;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;EGH;EGH;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;F;F;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;FLEXOMAX GBN;GBN;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;FLEXOMAX GSN;GSN;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;TETEFLEX;TETEFLEX;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;MODELO;TSCHAN;TSCHAN;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;FABRICANTE;FALK;FALK;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;FABRICANTE;NORD;NORD;;
SMK-AACES;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESSORIOS;ACOPLAMENTO ACESS;FABRICANTE;VULKAN;VULKAN;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-11;TETEFLEX D-11;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-13;TETEFLEX D-13;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-15;TETEFLEX D-15;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-17;TETEFLEX D-17;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-3;TETEFLEX D-3;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-4;TETEFLEX D-4;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-5;TETEFLEX D-5;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-6;TETEFLEX D-6;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-7;TETEFLEX D-7;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;MODELO;TETEFLEX D-9;TETEFLEX D-9;;
SMK-AACOL;ARRUELA ACOPLAMENTO;ARRUELA ACOPLAMENTO;ARRUELA ACOPl;FABRICANTE;TRANSMOTECNICA;TRANSMOTEC;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;DISPLAY;LCD COLORIDO;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;DISPLAY;LCD MONOCROMATICO;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;CONEXAO REDE;BANDA LARGA;BD LARG;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;CONEXAO REDE;REDE ANALOGICA;ANALOG;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;CONEXAO REDE;REDE DIGITAL;DIGITAL;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;FAIXA BANDA (AUDIO);0,16 ~ 22KHZ;0,16~22;QUILOHERTZ;KHz
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;FAIXA BANDA (AUDIO);2,4;2,4;GIGAHERTZ;GHz
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;FAIXA BANDA (AUDIO);200~3300;200~3300;HERTZ;Hz
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;FAIXA BANDA (AUDIO);200~3400;200~3400;HERTZ;Hz
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;FAIXA BANDA (AUDIO);250~7000;250~7000;HERTZ;Hz
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;FAIXA BANDA (AUDIO);3,4~22;3,4 ~22;QUILOHERTZ;KHz
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;FAIXA BANDA (AUDIO);300 ~ 3500;300~3500;MEGAHERTZ;MHz
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;FAIXA BANDA (AUDIO);300~3300;300~3300;HERTZ;Hz
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;FAIXA BANDA (AUDIO);300~3400;300~3400;HERTZ;Hz
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;FAIXA BANDA (AUDIO);80~7000;80~7000;HERTZ;Hz
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;CONEXAO;DECT GSM USB;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;CONEXAO;RCA;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;CONEXAO;RJ11;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;CONEXAO;RJ45;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;MICROFONE;2 CONECTAVEIS;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;MICROFONE;3 EMBUTIDOS;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;TIPO MICROFONE;CARDIOIDE;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;TIPO MICROFONE;OMNIDIRECIONAL;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;TIPO MICROFONE;STEREO;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;TIPO MICROFONE;SUPER CARDIOIDE;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;TENSAO NOMINAL;100/240;;VOLT;V
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;TENSAO NOMINAL;110;;VOLT;V
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;TENSAO NOMINAL;127;;VOLT;V
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;TENSAO NOMINAL;127/230;;VOLT;V
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;ALCANCE MICROFONE;30;30;METRO QUADRADO;m²
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;ALCANCE MICROFONE;5;5;METRO;m
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;ALCANCE MICROFONE;60CM~6M;60CM~6M;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;ALCANCE MICROFONE;9,144~12,192;9,144~12,192;METRO;m
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;ALCANCE MICROFONE;91~182 CM;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;SENSIBILIDADE;100;100;GRAU;º
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;SENSIBILIDADE;360;360;GRAU;º
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;CARACTERISTICA ESPECIAL;DNR - REDUCAO DINAMICA RUIDO;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;CARACTERISTICA ESPECIAL;TECNOLOGIA FULL DUPLEX;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;ACESSORIO;2 AUTOFALANTE EXTERNOS;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;ACESSORIO;2 CABOS ENERGIA;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;ACESSORIO;2 MICROFONES EXTENSAO;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;ACESSORIO;CONTROLE REMOTO;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;ACESSORIO;MICROFONES EXTERNOS;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;ACESSORIO;SUBWOOFER;;;
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;DIMENSAO VIVA VOZ;1,73 X 17,2 X 10,24;;POLEGADA;""""
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;DIMENSAO VIVA VOZ;13,5 X 40,1 X 32;;CENTIMETRO;cm
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;DIMENSAO VIVA VOZ;154 X 332 X 399;;MILIMETRO;mm
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;DIMENSAO VIVA VOZ;23,2 X 13,1 X 22,2;;MILIMETRO;mm
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;DIMENSAO VIVA VOZ;28,5 X 26,5 X 6,5;;CENTIMETRO;cm
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;DIMENSAO VIVA VOZ;36,8 X 31,1 X 6,4;;CENTIMETRO;cm
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;DIMENSAO VIVA VOZ;39,05 X 36,83 X 6,67;;CENTIMETRO;cm
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;DIMENSAO VIVA VOZ;64 X 311 X 368;;MILIMETRO;mm
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;DIMENSAO VIVA VOZ;77X240;;MILIMETRO;mm
SMK-AACON;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONFERENCIA;APARELHO AUDIOCONF;FABRICANTE-REFERENCIA;POLYCOM-SOUND STATION 2 EX;POLYCOM-SOUND STATION 2 EX;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MATERIAL;ACO CARBONO;AC;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MATERIAL;BORRACHA NATURAL;NR;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MATERIAL;BORRACHA NEOPRENE;CR;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MATERIAL;BORRACHA NITRILICA NBR;NBR;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MODELO;F;F;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MODELO;G;G;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MODELO;G10;G10;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MODELO;G20;G20;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MODELO;GPK;GPK;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MODELO;PINOFLEX;PINOPLEX;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MODELO;T;T;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MODELO;T10;T10;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MODELO;TETEFLEX;TETEFLEX;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;MODELO;TG;TG;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;10;10;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;1020;1020;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;1025;1025;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;1030;1030;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;1040;1040;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;1045;1045;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;1050;1050;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;1055;1055;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;1060;1060;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;1070;1070;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;1080;1080;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;1100;1100;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;1110;1110;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;12;12;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;14;14;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;16;16;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;3;3;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;366T;366T;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;4;4;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;487T;487T;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;5;5;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;50;50;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;6;6;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;7;7;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;8;8;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;85;85;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;9;9;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;D13;D13;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;D15;D15;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;D5;D5;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;D5/D6/D7;D5/D6/D7;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;D9/D11;D9/D11;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;TAMANHO;NP210;NP210;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;BURGER-TSNH619G;BURGER-TSNH619G;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-03F;FALK-03F;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-04F;FALK-04F;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-05F;FALK-05F;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-06F;FALK-06F;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-07F;FALK-07F;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-08F;FALK-08F;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-09F;FALK-09F;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1020/G10;FALK-1020/G10;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1020T;FALK-1020T;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1025/G10;FALK-1025/G10;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1025/G20;FALK-1025/G20;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1030/G20;FALK-1030/G20;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1030/T10;FALK-1030/T10;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1040/G20;FALK-1040/G20;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1040/T10;FALK-1040/T10;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1040T;FALK-1040T;;
SMK-AACOP;ANEL VEDACAO ACOPLAMENTO;ANEL VEDACAO ACOPLAMENTO;ANEL VED ACOPL;FABRICANTE-REFERENCIA;FALK-1045;FALK-1045;;
